AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"ERHY","","Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.","teal lovegrass"
"ERIN","","Eragrostis intermedia Hitchc.","plains lovegrass"
"ERLE","","Eragrostis lehmanniana Nees","Lehmann lovegrass"
"ERSP","","Eragrostis spectabilis (Pursh) Steud.","purple lovegrass"
"ERSU","","Eragrostis superba Peyr.","Wilman lovegrass"
"ERTR3","","Eragrostis trichodes (Nutt.) Alph. Wood","sand lovegrass"
"ERVA","","Eragrostis variabilis (Gaudich.) Steud.","kawelu"
"EROP","","Eremochloa ophiuroides (Munro) Hack.","centipede grass"
"ERNAN5","","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa ","rubber rabbitbrush"
"ERPI7","","Ericameria pinifolia (A. Gray) H.M. Hall","pinebush"
"ERCO4","","Erigeron compositus Pursh","cutleaf daisy"
"EREA","","Erigeron eatonii A. Gray","Eaton's fleabane"
"ERFI2","","Erigeron filifolius (Hook.) Nutt.","threadleaf fleabane"
"ERLI","","Erigeron linearis (Hook.) Piper","desert yellow fleabane"
"ERPE3","","Erigeron peregrinus (Banks ex Pursh) Greene","subalpine fleabane"
"ERPE5","","Erigeron petrophilus Greene","rockloving erigeron"
"ERPH","","Erigeron philadelphicus L.","Philadelphia fleabane"
"ERST3","","Erigeron strigosus Muhl. ex Willd.","prairie fleabane"
"ERDE5","","Eriocaulon decangulare L.","tenangle pipewort"
"ERPO3","","Eriochloa polystachya Kunth","Caribgrass"
"ERCA6","","Eriodictyon californicum (Hook. & Arn.) Torr.","California yerba santa"
"ERCA17","","Eriogonum capistratum Reveal","hidden buckwheat"
"EREL5","","Eriogonum elatum Douglas ex Benth.","tall woolly buckwheat"
"ERFA2","","Eriogonum fasciculatum Benth.","Eastern Mojave buckwheat"
"ERMA4","","Eriogonum marifolium Torr. & A. Gray","marumleaf buckwheat"
"ERMI4","","Eriogonum microthecum Nutt.","slender buckwheat"
"ERNI2","","Eriogonum niveum Douglas ex Benth.","snow buckwheat"
"ERSP7","","Eriogonum sphaerocephalum Douglas ex Benth.","rock buckwheat"
"ERST4","","Eriogonum strictum Benth.","Blue Mountain buckwheat"
"ERTH4","","Eriogonum thymoides Benth.","thymeleaf buckwheat"
"ERUM","","Eriogonum umbellatum Torr.","sulphur-flower buckwheat"
"ERWR","","Eriogonum wrightii Torr. ex Benth.","bastardsage"
"ERAN6","","Eriophorum angustifolium Honck.","tall cottongrass"
"ERGR8","","Eriophorum gracile W.D.J. Koch","slender cottongrass"
"ERVI8","","Eriophorum virginicum L.","tawny cottongrass"
"ERBO","","Erodium botrys (Cav.) Bertol.","longbeak stork's bill"
"ERCAC","","Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum ","sanddune wallflower"
"ERSA11","","Erythrina sandwicensis O. Deg.","wili wili"
"ERVA7","","Erythrina variegata L.","tiger's claw"
"ESCA2","","Eschscholzia californica Cham.","California poppy"
"EURA14","","Eubotrys racemosus (L.) Nutt.","swamp doghobble"
"EUCA2","","Eucalyptus camaldulensis Dehnh.","river redgum"
"EUGL","","Eucalyptus globulus Labill.","Tasmanian bluegum"
"EUGR12","","Eucalyptus grandis W. Hill ex Maid.","grand eucalyptus"
"EULE13","","Eucalyptus leucoxylon F. Muell.","white ironbark"
"EUMA23","","Eucalyptus maculata Hook.","spotted gum"
"EURO2","","Eucalyptus robusta Sm.","swampmahogany"
"EUSA","","Eucalyptus saligna Sm.","Sydney bluegum"
"EUBR13","","Eucephalus brickellioides (Greene) G.L. Nesom","brickellbush aster"
"EUEN","","Eucephalus engelmannii (D.C. Eaton) Greene","Engelmann's aster"
"EURH","","Eugenia rhombea (Berg) Krug & Urb.","red stopper"
"EUAL13","EUAL8","Euonymus alata (Thunb.) Siebold, orth. var. ","burningbush"
"EUAL13","","Euonymus alatus (Thunb.) Siebold","burningbush"
"EUAM9","EUAM7","Euonymus americana L., orth. var. ","bursting-heart"
"EUAM9","","Euonymus americanus L.","bursting-heart"
"EUAT5","EUAT3","Euonymus atropurpurea Jacq., orth. var. ","burningbush"
"EUAT5","","Euonymus atropurpureus Jacq.","burningbush"
"EUBU5","EUBU6","Euonymus bungeanum Maxim., orth. var. ","winterberry euonymus"
"EUBU5","","Euonymus bungeanus Maxim.","winterberry euonymus"
"EUFO5","","Euonymus fortunei (Turcz.) Hand.-Maz.","winter creeper"
"EUPA21","","Euonymus patens Rehder","spindle tree"
"EUFI14","EUFI","Eupatorium fistulosum Barratt","trumpetweed"
"EUMAM4","EUMAM","Eupatorium maculatum L. var. maculatum ","spotted joe pye weed"
"EUGL19","","Eurybia glauca (Nutt.) G.L. Nesom","gray aster"
"EUIN9","","Eurybia integrifolia (Nutt.) G.L. Nesom","thickstem aster"
"EUMA27","","Eurybia macrophylla (L.) Cass.","bigleaf aster"
"EUOC4","","Euthamia occidentalis Nutt.","western goldentop"
"EUFI14","","Eutrochium fistulosum (Barratt) E.E. Lamont","trumpetweed"
"EUMAM4","","Eutrochium maculatum (L.) E.E. Lamont var. maculatum ","spotted joe pye weed"
"FAES2","","Fagopyrum esculentum Moench","buckwheat"
"FATA","","Fagopyrum tataricum (L.) Gaertn.","Tartary buckwheat"
"FAGR","","Fagus grandifolia Ehrh.","American beech"
"FAPA","","Fallugia paradoxa (D. Don) Endl. ex Torr.","Apache plume"
"FERU","","Fendlera rupicola A. Gray","cliff fendlerbush"
"FEWI","","Ferocactus wislizeni (Engelm.) Britton & Rose","candy barrelcactus"
"FEAR2","","Festuca arizonica Vasey","Arizona fescue"
"FEBR7","","Festuca brevipila Tracey","hard fescue"
"FECA","","Festuca californica Vasey","California fescue"
"FECA4","","Festuca campestris Rydb.","rough fescue"
"FEHE2","","Festuca heteromalla Pourr.","varioushair fescue"
"FEID","","Festuca idahoensis Elmer","Idaho fescue"
"FEIDR2","","Festuca idahoensis Elmer ssp. roemeri (Pavlick) S. Aiken","Roemer's fescue"
"FEOC","","Festuca occidentalis Hook.","western fescue"
"FEOV","","Festuca ovina L.","sheep fescue"
"FEIDR2","FERO","Festuca roemeri (Pavlick) Alexeev","Roemer's fescue"
"FERU2","","Festuca rubra L.","red fescue"
"FESU","","Festuca subulata Trin.","bearded fescue"
"FESU3","","Festuca subverticillata (Pers.) Alexeev","nodding fescue"
"FETH","","Festuca thurberi Vasey","Thurber's fescue"
"FEBR7","FETR3","Festuca trachyphylla (Hack.) Krajina, nom. illeg.","hard fescue"
"FEVI","","Festuca viridula Vasey","greenleaf fescue"
"FIAM","","Ficus americana Aubl.","Jamaican cherry fig"
"FICI","","Ficus citrifolia Mill.","wild banyantree"
"FICI","FILA2","Ficus laevigata Vahl","wild banyantree"
"FIAM","FISI3","Ficus sintenisii Warb.","Jamaican cherry fig"
"FLCE","","Flourensia cernua DC.","American tarwort"
"FOAC","","Forestiera acuminata (Michx.) Poir.","eastern swampprivet"
"FOPUP","","Forestiera pubescens Nutt. var. pubescens ","stretchberry"
"FOIN3","","Forsythia ×intermedia Zabel [suspensa × viridissima]","showy forsythia"
"FOSU","","Forsythia suspensa (Thunb.) Vahl","weeping forsythia"
"FOGA","","Fothergilla gardenii L.","dwarf witchalder"
"FOSP2","","Fouquieria splendens Engelm.","ocotillo"
"FRCH","","Fragaria chiloensis (L.) Mill.","beach strawberry"
"FRAL4","","Frangula alnus Mill.","glossy buckthorn"
"FRBEB","","Frangula betulifolia (Greene) V. Grub. ssp. betulifolia ","beechleaf frangula"
"FRCAC5","","Frangula californica (Eschsch.) A. Gray ssp. californica ","California buckthorn"
"FRCA13","","Frangula caroliniana (Walter) A. Gray","Carolina buckthorn"
"FRPU7","","Frangula purshiana (DC.) A. Gray","Cascara buckthorn"
"FRAL","","Franklinia alatamaha W. Bartram ex Marshall","Franklin tree"
"FRAM2","","Fraxinus americana L.","white ash"
"FRAN2","","Fraxinus anomala Torr. ex S. Watson","singleleaf ash"
"FRCA3","","Fraxinus caroliniana Mill.","Carolina ash"
"FRLA","","Fraxinus latifolia Benth.","Oregon ash"
"FRNI","","Fraxinus nigra Marshall","black ash"
"FRPE","","Fraxinus pennsylvanica Marshall","green ash"
"FRPR","","Fraxinus profunda (Bush) Bush","pumpkin ash"
"FRVE2","","Fraxinus velutina Torr.","velvet ash"
"FRCA6","","Fremontodendron californicum (Torr.) Coville","California flannelbush"
"FRPU2","","Fritillaria pudica (Pursh) Spreng.","yellow fritillary"
"FUTU","","Furcraea tuberosa (Mill.) W.T. Aiton","female karata"
"GAAR","","Gaillardia aristata Pursh","blanketflower"
"GAPU","","Gaillardia pulchella Foug.","Indian blanket"
"GAAP2","","Galium aparine L.","stickywilly"
"GAAS2","","Galium asprellum Michx.","rough bedstraw"
"GABO2","","Galium boreale L.","northern bedstraw"
"GAOB","","Galium obtusum Bigelow","bluntleaf bedstraw"
"GAOR","","Galium oreganum Britton","Oregon bedstraw"
"GATI","","Galium tinctorium (L.) Scop.","stiff marsh bedstraw"
"GATR2","","Galium trifidum L.","threepetal bedstraw"
"GAWR3","","Garrya wrightii Torr.","Wright's silktassel"
"GAHI2","","Gaultheria hispidula (L.) Muhl. ex Bigelow","creeping snowberry"
"GAPR2","","Gaultheria procumbens L.","eastern teaberry"
"GASH","","Gaultheria shallon Pursh","salal"
"GABA","","Gaylussacia baccata (Wangenh.) K. Koch","black huckleberry"
"GADU","","Gaylussacia dumosa (Andrews) Torr. & A. Gray","dwarf huckleberry"
"GAFR2","","Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.","blue huckleberry"
"GEAN","","Gentiana andrewsii Griseb.","closed bottle gentian"
"GECA","","Gentiana calycosa Griseb.","Rainier pleated gentian"
"GECL","","Gentiana clausa Raf.","bottle gentian"
"GEER2","","Geranium erianthum DC.","woolly geranium"
"GEOR2","","Geranium oreganum Howell","Oregon geranium"
"GERI","","Geranium richardsonii Fisch. & Trautv.","Richardson's geranium"
"GEVI2","","Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.","sticky purple geranium"
"GECA7","","Geum canadense Jacq.","white avens"
"GELA","","Geum laciniatum Murray","rough avens"
"GEMA4","","Geum macrophyllum Willd.","largeleaf avens"
"GERI2","","Geum rivale L.","purple avens"
"GEROT","","Geum rossii (R. Br.) Ser. var. turbinatum (Rydb.) C.L. Hitchc.","Ross' avens"
"GETR","","Geum triflorum Pursh","old man's whiskers"
"GEVE","","Geum vernum (Raf.) Torr. & A. Gray","spring avens"
"GIBI2","","Ginkgo biloba L.","maidenhair tree"
"GLMA","","Glaux maritima L.","sea milkwort"
"GLAQ","","Gleditsia aquatica Marshall","water locust"
"GLTR","","Gleditsia triacanthos L.","honeylocust"
"GLSE2","","Gliricidia sepium (Jacq.) Kunth ex Walp.","quickstick"
"GLBO","","Glyceria borealis (Nash) Batchelder","small floating mannagrass"
"GLCA","","Glyceria canadensis (Michx.) Trin.","rattlesnake mannagrass"
"GLME2","","Glyceria melicaria (Michx.) F.T. Hubbard","melic mannagrass"
"GLOB","","Glyceria obtusa (Muhl.) Trin.","Atlantic mannagrass"
"GLST","","Glyceria striata (Lam.) Hitchc.","fowl mannagrass"
"GLMA4","","Glycine max (L.) Merr.","soybean"
"GLMA4","GLSO80","Glycine soja (L.) Merr., non Siebold & Zucc., nom. illeg.","soybean"
"GLLE3","","Glycyrrhiza lepidota Pursh","American licorice"
"GOLA","","Gordonia lasianthus (L.) Ellis","loblolly bay"
"GOTO","","Gossypium tomentosum Nutt. ex Seem.","Hawai'ian cotton"
"GRSP","","Grayia spinosa (Hook.) Moq.","spiny hopsage"
"GRRO","","Grevillea robusta A. Cunn. ex R. Br.","silkoak"
"GUOF","","Guaiacum officinale L.","lignum-vitae"
"GUSA","","Guaiacum sanctum L.","holywood"
"GUGU","","Guarea guidonia (L.) Sleumer","American muskwood"
"GUSA2","","Gutierrezia sarothrae (Pursh) Britton & Rusby","broom snakeweed"
"GYDI","","Gymnocladus dioicus (L.) K. Koch","Kentucky coffeetree"
"GYSA","","Gynerium sagittatum (Aubl.) P. Beauv.","wildcane"
"HACA3","","Halesia carolina L.","Carolina silverbell"
"HADI3","","Halesia diptera Ellis","two-wing silverbell"
"HAVI4","","Hamamelis virginiana L.","American witchhazel"
"HEHE","","Hedera helix L.","English ivy"
"HEAL","","Hedysarum alpinum L.","alpine sweetvetch"
"HEBO","","Hedysarum boreale Nutt.","Utah sweetvetch"
"HEBOB2","","Hedysarum boreale Nutt. ssp. boreale var. boreale ","Utah sweetvetch"
"HESU","","Hedysarum sulphurescens Rydb.","white sweetvetch"
"HEAU","","Helenium autumnale L.","common sneezeweed"
"HEFL","","Helenium flexuosum Raf.","purplehead sneezeweed"
"HEUN","","Helianthella uniflora (Nutt.) Torr. & A. Gray","oneflower helianthella"
"HEAN2","","Helianthus angustifolius L.","swamp sunflower"
"HEAN3","","Helianthus annuus L.","common sunflower"
"HEDE4","","Helianthus debilis Nutt.","cucumberleaf sunflower"
"HEGR4","","Helianthus grosseserratus M. Martens","sawtooth sunflower"
"HEMA2","","Helianthus maximiliani Schrad.","Maximilian sunflower"
"HENU","","Helianthus nuttallii Torr. & A. Gray","Nuttall's sunflower"
"HETU","","Helianthus tuberosus L.","Jerusalem artichoke"
"HEHES","","Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald","smooth oxeye"
"HECU3","","Heliotropium curassavicum L.","salt heliotrope"
"HEAL5","","Hemarthria altissima (Poir.) Stapf & C.E. Hubbard","limpograss"
"HEMER","","Hemerocallis L.","daylily"
"HESQ","","Henriettea squamulosum (Cogn.) W.S. Judd","jusillo"
"HEMA80","","Heracleum maximum W. Bartram","common cowparsnip"
"HEMA3","","Hesperis matronalis L.","dames rocket"
"HEAR22","","Hesperocyparis arizonica (Greene) Bartel","Arizona cypress"
"HECOC8","","Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata ","needle and thread"
"HESP11","","Hesperostipa spartea (Trin.) Barkworth","porcupinegrass"
"HEWH","","Hesperoyucca whipplei (Torr.) Baker","chaparral yucca"
"HECO10","","Heteropogon contortus (L.) P. Beauv. ex Roem. & Schult.","tanglehead"
"HEVI4","","Heterotheca villosa (Pursh) Shinners","hairy false goldenaster"
"HEVIV","","Heterotheca villosa (Pursh) Shinners var. villosa ","hairy false goldenaster"
"HECY2","","Heuchera cylindrica Douglas ex Hook.","roundleaf alumroot"
"HESA3","","Heuchera sanguinea Engelm.","coralbells"
"HIAC","","Hibiscus aculeatus Walter","comfortroot"
"HILA2","","Hibiscus laevis All.","halberdleaf rosemallow"
"HIMO","","Hibiscus moscheutos L.","crimsoneyed rosemallow"
"HIAL2","","Hieracium albiflorum Hook.","white hawkweed"
"HISC2","","Hieracium scouleri Hook.","Scouler's woollyweed"
"HIOD","","Hierochloe odorata (L.) P. Beauv.","sweetgrass"
"HIBE","","Hilaria belangeri (Steud.) Nash","curly-mesquite"
"HIRH80","","Hippophae rhamnoides L.","seaberry"
"HIVU2","","Hippuris vulgaris L.","common mare's-tail"
"HOLA","","Holcus lanatus L.","common velvetgrass"
"HODI","","Holodiscus discolor (Pursh) Maxim.","oceanspray"
"HODU","","Holodiscus dumosus (Nutt. ex Hook.) A. Heller","rockspirea"
"HOBR2","","Hordeum brachyantherum Nevski","meadow barley"
"HOBRC2","","Hordeum brachyantherum Nevski ssp. californicum (Covas & Stebbins) Bothmer, N. Jacobsen & Seberg","California barley"
"HOPU","","Hordeum pusillum Nutt.","little barley"
"HOVU","","Hordeum vulgare L.","common barley"
"HUTO","","Hudsonia tomentosa Nutt.","woolly beachheather"
"HUCR","","Hura crepitans L.","sandbox tree"
"HYMA7","","Hydrangea macrophylla (Thunb.) Ser.","French hydrangea"
"HYQU3","","Hydrangea quercifolia W. Bartram","oakleaf hydrangea"
"HYQU","","Hydrolea quadrivalvis Walter","waterpod"
"HYCA4","","Hydrophyllum capitatum Douglas ex Benth.","ballhead waterleaf"
"HYOC","","Hydrophyllum occidentale (S. Watson) A. Gray","western waterleaf"
"HYCO","","Hymenaea courbaril L.","stinkingtoe"
"HYOCO","HYCA9","Hymenocallis caroliniana auct. non (L.) Herbert","northern spiderlily"
"HYLI","","Hymenocallis liriosme (Raf.) Shinners","spring spiderlily"
"HYOCO","","Hymenocallis occidentalis (Leconte) Kunth var. occidentalis ","northern spiderlily"
"HYMO","","Hymenoclea monogyra Torr. & A. Gray","singlewhorl burrobrush"
"HYAN2","","Hypericum anagalloides Cham. & Schltdl.","tinker's penny"
"HYAS80","","Hypericum ascyron L.","great St. Johnswort"
"HYBO2","","Hypericum boreale (Britton) E.P. Bicknell","northern St. Johnswort"
"HYCA10","","Hypericum calycinum L.","Aaron's beard"
"HYCI","","Hypericum cistifolium Lam.","roundpod St. Johnswort"
"HYCR3","","Hypericum crux-andreae (L.) Crantz","St. Peterswort"
"HYDE","","Hypericum densiflorum Pursh","bushy St. Johnswort"
"HYDE2","","Hypericum denticulatum Walter","coppery St. Johnswort"
"HYFA","","Hypericum fasciculatum Lam.","peelbark St. Johnswort"
"HYGA","","Hypericum galioides Lam.","bedstraw St. Johnswort"
"HYGE","","Hypericum gentianoides (L.) Britton, Sterns & Poggenb.","orangegrass"
"HYMU","","Hypericum mutilum L.","dwarf St. Johnswort"
"HYPR","","Hypericum prolificum L.","shrubby St. Johnswort"
"HYPU","","Hypericum punctatum Lam.","spotted St. Johnswort"
"HYHI2","","Hypoxis hirsuta (L.) Coville","common goldstar"
"IBSE","","Iberis sempervirens L.","evergreen candytuft"
"ILAM2","","Ilex amelanchier M.A. Curtis ex Chapm.","sarvis holly"
"ILCA","","Ilex cassine L.","dahoon"
"ILCO","","Ilex coriacea (Pursh) Chapm.","large gallberry"
"ILCO80","","Ilex cornuta Lindl. & Paxton","Chinese holly"
"ILCR2","","Ilex crenata Thunb.","Japanese holly"
"ILDE","","Ilex decidua Walter","possumhaw"
"ILGL","","Ilex glabra (L.) A. Gray","inkberry"
"ILOP","","Ilex opaca Aiton","American holly"
"ILVE","","Ilex verticillata (L.) A. Gray","common winterberry"
"ILVO","","Ilex vomitoria Aiton","yaupon"
"ILRI","","Iliamna rivularis (Douglas ex Hook.) Greene","streambank wild hollyhock"
"IMCA","","Impatiens capensis Meerb.","jewelweed"
"IMPA","","Impatiens pallida Nutt.","pale touch-me-not"
"INHI","","Indigofera hirsuta L.","hairy indigo"
"INLA","","Inga laurina (Sw.) Willd.","sacky sac bean"
"INVE","","Inga vera Willd.","river koko"
"IPPE","","Ipomoea pes-caprae (L.) R. Br.","bayhops"
"IPAGA3","","Ipomopsis aggregata (Pursh) V.E. Grant ssp. aggregata ","scarlet gilia"
"IRBR","","Iris bracteata S. Watson","Siskiyou iris"
"IRFU","","Iris fulva Ker Gawl.","copper iris"
"IRMI","","Iris missouriensis Nutt.","Rocky Mountain iris"
"IRTE","","Iris tenax Douglas ex Lindl.","toughleaf iris"
"IRVI","","Iris virginica L.","Virginia iris"
"ITVI","","Itea virginica L.","Virginia sweetspire"
"IVFR","","Iva frutescens L.","Jesuit's bark"
"JAOVS","","Jacquemontia ovalifolia (Vahl ex West) Hallier f. ssp. sandwicensis (A. Gray) K.R. Robertson","oval-leaf clustervine"
"JAAM","","Jamesia americana Torr. & A. Gray","fivepetal cliffbush"
"JUCI","","Juglans cinerea L.","butternut"
"JUMA","","Juglans major (Torr.) A. Heller","Arizona walnut"
"JUMI","","Juglans microcarpa Berl.","little walnut"
"JUNI","","Juglans nigra L.","black walnut"
"JURE80","","Juglans regia L.","English walnut"
"JUAC","","Juncus acuminatus Michx.","tapertip rush"
"JUARL","","Juncus arcticus Willd. ssp. littoralis (Engelm.) Hultén","mountain rush"
"JUAR4","","Juncus articulatus L.","jointleaf rush"
"JUARL","JUBA","Juncus balticus Willd.","mountain rush"
"JUBI","","Juncus biflorus Elliott","bog rush"
"JUBI2","","Juncus biglumis L.","twoflowered rush"
"JUBR","","Juncus brachycarpus Engelm.","whiteroot rush"
"JUBR2","","Juncus brachycephalus (Engelm.) Buchenau","smallhead rush"
"JUBU","","Juncus bufonius L.","toad rush"
"JUCA3","","Juncus canadensis J. Gay ex Laharpe","Canadian rush"
"JUCA6","","Juncus castaneus Sm.","chestnut rush"
"JUCO2","","Juncus confusus Coville","Colorado rush"
"JUDI","","Juncus dichotomus Elliott","forked rush"
"JUDR","","Juncus drummondii E. Mey.","Drummond's rush"
"JUEF","","Juncus effusus L.","common rush"
"JUEN","","Juncus ensifolius Wikstr.","swordleaf rush"
"JUIN2","","Juncus interior Wiegand","inland rush"
"JULO","","Juncus longistylis Torr.","longstyle rush"
"JUMA4","","Juncus marginatus Rostk.","grassleaf rush"
"JUME","","Juncus megacephalus M.A. Curtis","bighead rush"
"JUME3","","Juncus mertensianus Bong.","Mertens' rush"
"JUME4","","Juncus mexicanus Willd. ex Schult. & Schult. f.","Mexican rush"
"JUNE","","Juncus nevadensis S. Watson","Sierra rush"
"JUNO2","","Juncus nodosus L.","knotted rush"
"JUPA","","Juncus parryi Engelm.","Parry's rush"
"JURE2","","Juncus repens Michx.","lesser creeping rush"
"JURO","","Juncus roemerianus Scheele","needlegrass rush"
"JUSC","","Juncus scirpoides Lam.","needlepod rush"
"JUSE","","Juncus secundus P. Beauv. ex Poir.","lopsided rush"
"JUSU","","Juncus subcaudatus (Engelm.) Coville & S.F. Blake","woodland rush"
"JUTE","","Juncus tenuis Willd.","poverty rush"
"JUTO","","Juncus torreyi Coville","Torrey's rush"
"JUTR4","","Juncus triglumis L.","three-hulled rush"
"JUVA2","","Juncus validus Coville","roundhead rush"
"JUCH4","","Juniperus chinensis L.","Chinese juniper"
"JUCO6","","Juniperus communis L.","common juniper"
"JUCO12","","Juniperus conferta Parl.","shore juniper"
"JUHO2","","Juniperus horizontalis Moench","creeping juniper"
"JUMO","","Juniperus monosperma (Engelm.) Sarg.","oneseed juniper"
"JUOC","","Juniperus occidentalis Hook.","western juniper"
"JUOS","","Juniperus osteosperma (Torr.) Little","Utah juniper"
"JUSC2","","Juniperus scopulorum Sarg.","Rocky Mountain juniper"
"JUVI","","Juniperus virginiana L.","eastern redcedar"
"JUVIS","","Juniperus virginiana L. var. silicicola (Small) Silba","southern redcedar"
"JUAM","","Justicia americana (L.) Vahl","American water-willow"
"KALA","","Kalmia latifolia L.","mountain laurel"
"KAMI","","Kalmia microphylla (Hook.) A. Heller","alpine laurel"
"KAPO","","Kalmia polifolia Wangenh.","bog laurel"
"BAAM4","KOAM","Kochia americana S. Watson","green molly"
"BAPR5","KOPR80","Kochia prostrata (L.) Schrad.","forage kochia"
"BASC5","KOSC","Kochia scoparia (L.) Schrad.","burningbush"
"KOMA","","Koeleria macrantha (Ledeb.) Schult.","prairie Junegrass"
"KOPA","","Koelreuteria paniculata Laxm.","goldenrain tree"
"KRER","","Krameria erecta Willd. ex Schult.","littleleaf ratany"
"KRLA2","","Krascheninnikovia lanata (Pursh) A. Meeuse & Smit","winterfat"
"KUST","","Kummerowia stipulacea (Maxim.) Makino","Korean clover"
"KUST2","","Kummerowia striata (Thunb.) Schindl.","Japanese clover"
"LAPU6","","Lablab purpureus (L.) Sweet","hyacinthbean"
"LACA5","","Lachnanthes caroliana (Lam.) Dandy","Carolina redroot"
"LAIN","","Lagerstroemia indica L.","crapemyrtle"
"LARA2","","Laguncularia racemosa (L.) C.F. Gaertn.","white mangrove"
"LADE2","","Larix decidua Mill.","European larch"
"LAKA2","","Larix kaempferi (Lam.) Carrière","Japanese larch"
"LALA","","Larix laricina (Du Roi) K. Koch","tamarack"
"LALY","","Larix lyallii Parl.","subalpine larch"
"LAOC","","Larix occidentalis Nutt.","western larch"
"LATRA","","Larrea tridentata (DC.) Coville var. arenaria L.D. Benson","creosote bush"
"LAHI2","","Lathyrus hirsutus L.","Caley pea"
"LAJA","","Lathyrus japonicus Willd.","beach pea"
"LALA4","","Lathyrus latifolius L.","perennial pea"
"LALI2","","Lathyrus littoralis (Nutt.) Endl.","silky beach pea"
"LAPO3","","Lathyrus polyphyllus Nutt.","leafy pea"
"LASY","","Lathyrus sylvestris L.","flat pea"
"LATU","","Lathyrus tuberosus L.","tuberous sweetpea"
"LAAS","","Lavatera assurgentiflora Kellogg","island mallow"
"LEGL","","Ledum glandulosum Nutt.","western Labrador tea"
"LEGR","","Ledum groenlandicum Oeder","bog Labrador tea"
"LEPA11","","Ledum palustre L.","marsh Labrador tea"
"LELE2","","Leersia lenticularis Michx.","catchfly grass"
"LEOR","","Leersia oryzoides (L.) Sw.","rice cutgrass"
"LEVI2","","Leersia virginica Willd.","whitegrass"
"LEMI3","","Lemna minor L.","common duckweed"
"LETR","","Lemna trisulca L.","star duckweed"
"LEVA","","Lemna valdiviana Phil.","valdivia duckweed"
"LEMO2","","Lepidium montanum Nutt.","mountain pepperweed"
"LEDU","","Leptochloa dubia (Kunth) Nees","green sprangletop"
"LEFUF","","Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow","bearded sprangletop"
"LIPU11","LEPU","Leptodactylon pungens (Torr.) Torr. ex Nutt.","granite prickly phlox"
"LEGR23","","Leptosiphon grandiflorus (Benth.) J.M. Porter & L.A. Johnson","largeflower linanthus"
"LEBI2","","Lespedeza bicolor Turcz.","shrub lespedeza"
"LECA8","","Lespedeza capitata Michx.","roundhead lespedeza"
"LEHI2","","Lespedeza hirta (L.) Hornem.","hairy lespedeza"
"LETH4","","Lespedeza thunbergii (DC.) Nakai","Thunberg's lespedeza"
"LEVI80","","Lespedeza virgata (Thunb.) DC.","wand lespedeza"
"LELE10","","Leucaena leucocephala (Lam.) de Wit","white leadtree"
"LERE5","","Leucaena retusa Benth.","littleleaf leadtree"
"LEVU","","Leucanthemum vulgare Lam.","oxeye daisy"
"LEAX","","Leucothoe axillaris (Lam.) D. Don","coastal doghobble"
"LEFO","","Leucothoe fontanesiana (Steud.) Sleumer","highland doghobble"
"EURA14","LERA4","Leucothoe racemosa (L.) A. Gray","swamp doghobble"
"LEAN3","","Leymus angustus (Trin.) Pilg.","Altai wildrye"
"LEAR11","","Leymus arenarius (L.) Hochst.","sand ryegrass"
"LECI4","","Leymus cinereus (Scribn. & Merr.) Á. Löve","basin wildrye"
"LECO12","","Leymus condensatus (J. Presl) Á. Löve","giant wildrye"
"LEFL4","","Leymus flavescens (Scribn. & J.G. Sm.) Pilg.","yellow wildrye"
"LEMOM2","","Leymus mollis (Trin.) Pilg. ssp. mollis ","American dunegrass"
"LERA5","","Leymus racemosus (Lam.) Tzvelev","mammoth wildrye"
"LESA4","","Leymus salinus (M.E. Jones) Á. Löve","saline wildrye"
"LETR5","","Leymus triticoides (Buckley) Pilg.","beardless wildrye"
"LIPI7","","Liatris pilosa (Aiton) Willd.","shaggy blazing star"
"LIPI7","LIPIP","Liatris pilosa (Aiton) Willd. var. pilosa ","shaggy blazing star"
"LIPU","","Liatris punctata Hook.","dotted blazing star"
"LIPY","","Liatris pycnostachya Michx.","prairie blazing star"
"LISP","","Liatris spicata (L.) Willd.","dense blazing star"
"LISQ2","","Liatris squarrulosa Michx.","Appalachian blazing star"
"LIPA9","","Licaria parvifolia (Lam.) Kosterm.","Puerto Rico cinnamon"
"LIPA9","LISA","Licaria salicifolia (Sw.) Kosterm.","Puerto Rico cinnamon"
"LIAM","","Ligustrum amurense Carrière","Amur privet"
"LIJA","","Ligustrum japonicum Thunb.","Japanese privet"
"LIOV","","Ligustrum ovalifolium Hassk.","California privet"
"LIVU","","Ligustrum vulgare L.","European privet"
"LISC4","","Lilaea scilloides (Poir.) Hauman","awl-leaf lilaea"
"LISP2","","Limnobium spongia (Bosc) Rich. ex Steud.","American spongeplant"
"LICA17","","Limonium carolinianum (Walter) Britton","lavender thrift"
